home_team,game_date,umpire
BOS,2023-06-04,Edwin Jimenez
BOS,2023-06-05,Chris Guccione
BOS,2023-06-12,Chad Fairchild
BOS,2023-06-13,Nic Lentz
BOS,2023-06-14,Charlie Ramos
BOS,2023-06-16,Hunter Wendelstedt
BOS,2023-06-27,Malachi Moore
BOS,2023-06-28,Dan Bellino
BOS,2023-06-29,Stu Scheurwater
BOS,2023-07-04,Sean Barber
BOS,2023-07-05,Alan Porter
BOS,2023-07-06,Jim Wolf
BOS,2023-07-07,Adrian Johnson
BOS,2023-07-08,Phil Cuzzi
BOS,2023-07-09,Emil Jimenez
BOS,2023-07-21,Doug Eddings
BOS,2023-07-22,Ramon D
BOS,2023-07-23,Brian Walsh
BOS,2023-07-25,Erich Bacchus
BOS,2023-07-26,Ryan Wills
BOS,2023-08-04,Rob Drake
BOS,2023-08-05,Bill Miller
BOS,2023-08-06,Chad Whitson
BOS,2023-08-07,Nick Mahrley
BOS,2023-08-08,Vic Carapazza
BOS,2023-08-09,Emil Jimenez
BOS,2023-08-10,Adam Hamari
BOS,2023-08-11,Jim Wolf
BOS,2023-08-12,Jeremy Riggs
BOS,2023-08-13,Mike Muchlinski
BOS,2023-08-25,Mark Carlson
BOS,2023-08-26,Jordan Baker
BOS,2023-08-27,Brennan Miller
BOS,2023-08-28,Dan Iassogna
BOS,2023-08-29,Clint Vondrak
BOS,2023-08-30,Gabe Morales
BOS,2023-09-08,Mike Estabrook
BOS,2023-09-09,Andy Fletcher
BOS,2023-09-10,Erich Bacchus
BOS,2023-09-22,Shane Livensparger
BOS,2023-09-23,Mark Ripperger
BOS,2023-09-24,David Arrieta
BOS,2023-09-26,Nic Lentz
BOS,2023-09-27,Jeremie Rehak
CHC,2023-03-30,Ron Kulpa
CHC,2023-04-01,Cory Blaser
CHC,2023-04-02,Carlos Torres
CHC,2023-04-07,Nestor Ceja
CHC,2023-04-08,Charlie Ramos
CHC,2023-04-09,Brian O'Nora
CHC,2023-04-10,Junior Valentine
CHC,2023-04-11,Adrian Johnson
CHC,2023-04-12,Manny Gonzalez
CHC,2023-04-20,Ryan Wills
CHC,2023-04-21,Andy Fletcher
CHC,2023-04-22,Mike Estabrook
CHC,2023-04-23,Erich Bacchus
CHC,2023-04-25,Adam Beck
CHC,2023-04-26,Clint Vondrak
CHC,2023-04-27,Gabe Morales
CHC,2023-05-05,Sean Barber
CHC,2023-05-06,Jim Wolf
CHC,2023-05-07,Alan Porter
CHC,2023-05-08,CB Bucknor
CHC,2023-05-09,Ryan Wills
CHC,2023-05-10,Ben May
CHC,2023-05-23,Rob Drake
CHC,2023-05-24,Bill Miller
CHC,2023-05-25,Roberto Ortiz
CHC,2023-05-26,Adrian Johnson
CHC,2023-05-27,Manny Gonzalez
CHC,2023-05-28,Quinn Wolcott
CHC,2023-05-29,Dan Merzel
CHC,2023-05-30,Lance Barksdale
CHC,2023-05-31,Will Little
CHC,2023-06-13,John Tumpane
CHC,2023-06-14,Marvin Hudson
CHC,2023-06-15,Brian Walsh
CHC,2023-06-16,Tom Hanahan
CHC,2023-06-17,CB Bucknor
CHC,2023-06-18,Ben May
CHC,2023-06-27,Junior Valentine
CHC,2023-06-28,Jose Navas
CHC,2023-06-29,Mike Muchlinski
CHC,2023-06-30,Charlie Ramos
CHC,2023-07-01,Jeremie Rehak
CHC,2023-07-02,Chad Fairchild
CHC,2023-07-14,Chris Segal
CHC,2023-07-15,Jeff Nelson
CHC,2023-07-16,Ben May
CHC,2023-07-17,Clint Vondrak
CHC,2023-07-18,John Libka
CHC,2023-07-19,James Hoye
CHC,2023-07-20,Jansen Visconti
CHC,2023-07-21,Ron Kulpa
CHC,2023-07-22,Cory Blaser
CHC,2023-07-23,Brock Ballou
CHC,2023-07-31,Jordan Baker
CHC,2023-08-01,Mark Carlson
CHC,2023-08-02,Tripp Gibson
CHC,2023-08-03,Derek Thomas
CHC,2023-08-04,John Tumpane
CHC,2023-08-05,Ryan Blakney
CHC,2023-08-06,Marvin Hudson
CHC,2023-08-15,Mark Carlson
CHC,2023-08-16,Jordan Baker
CHC,2023-08-18,Rob Drake
